time," ti"," te"," tr"," signal"
07-03-2022 13:23:58,"44","28,702614","36","-100"
07-03-2022 13:24:00,"43,875","28,701317","36","100"
07-03-2022 13:24:01,"43,875","28,701965","36","-100"
07-03-2022 13:24:02,"43,625","28,704559","36","-100"
07-03-2022 13:24:04,"43,625","28,705856","36","-100"
07-03-2022 13:24:05,"43,3125","28,704884","36","-79,514542"
07-03-2022 13:24:06,"43,3125","28,705856","36","-100"
07-03-2022 13:24:08,"42,9375","28,704884","36","-37,640648"
07-03-2022 13:24:09,"42,9375","28,703587","36","-100"
07-03-2022 13:24:10,"42,625","28,700993","36","-28,405195"
07-03-2022 13:24:11,"42,625","28,700344","36","-100"
07-03-2022 13:24:13,"42,25","28,700344","36","-19,728149"
07-03-2022 13:24:14,"42,25","28,700993","36","-99,949997"
07-03-2022 13:24:15,"41,9375","28,700344","36","-10,355194"
07-03-2022 13:24:16,"41,9375","28,699696","36","-100"
07-03-2022 13:24:18,"41,6875","28,700344","36","-35,625038"
07-03-2022 13:24:19,"41,6875","28,699696","36","-100"
07-03-2022 13:24:21,"41,375","28,699371","36","-27,499962"
07-03-2022 13:24:22,"41,375","28,700344","36","-91,043739"
07-03-2022 13:24:23,"41,125","28,701965","36","-18,750038"
07-03-2022 13:24:24,"41,125","28,703911","36","-99,581261"
07-03-2022 13:24:26,"40,875","28,705532","36","-27,918739"
07-03-2022 13:24:27,"40,875","28,706181","36","-92,081261"
07-03-2022 13:24:28,"40,625","28,704559","36","-20,418739"
07-03-2022 13:24:29,"40,625","28,704235","36","-84,581261"
07-03-2022 13:24:31,"40,375","28,705532","36","-12,918739"
07-03-2022 13:24:32,"40,375","28,705532","36","-77,081261"
07-03-2022 13:24:34,"40,1875","28,706829","36","-22,709351"
07-03-2022 13:24:35,"40,1875","28,706829","36","-87,5"
07-03-2022 13:24:36,"40","28,707478","36","-33,75"
07-03-2022 13:24:37,"40","28,708126","36","-81,875"
07-03-2022 13:24:39,"39,75","28,71072","36","-10,834389"
07-03-2022 13:24:40,"39,75","28,711693","36","-58,331261"
07-03-2022 13:24:41,"39,5625","28,713638","36","-3,959351"
07-03-2022 13:24:42,"39,5625","28,71299","36","-68,75"
07-03-2022 13:24:44,"39,4375","28,712341","36","-32,290611"
07-03-2022 13:24:45,"39,4375","28,712341","36","-81,043739"
07-03-2022 13:24:47,"39,25","28,71072","36","-27,915649"
07-03-2022 13:24:48,"39,25","28,710396","36","-59,375"
07-03-2022 13:24:49,"39","28,712341","36","11,665611"
07-03-2022 13:24:50,"39","28,713638","36","-35,831261"
07-03-2022 13:24:52,"38,875","28,713638","36","1,250038"
07-03-2022 13:24:53,"38,875","28,714935","36","-64,168739"
07-03-2022 13:24:54,"38,875","28,714287","36","-62,915649"
07-03-2022 13:24:55,"38,875","28,715908","36","-96,25"
07-03-2022 13:24:57,"38,75","28,716883","36","-61,665611"
07-03-2022 13:24:58,"38,75","28,716232","36","-60,418739"
07-03-2022 13:24:59,"38,5625","28,716557","36","-7,290649"
07-03-2022 13:25:01,"38,5625","28,718504","36","-38,75"
07-03-2022 13:25:02,"38,375","28,719152","36","15"
07-03-2022 13:25:03,"38,375","28,718504","36","-33,125"
07-03-2022 13:25:05,"38,25","28,718828","36","3,334389"
07-03-2022 13:25:06,"38,25","28,718828","36","-45,418739"
07-03-2022 13:25:07,"38,25","28,71818","36","-44,165649"
07-03-2022 13:25:08,"38,25","28,719152","36","-77,5"
07-03-2022 13:25:10,"38,1875","28,718828","36","-60,209389"
07-03-2022 13:25:11,"38,1875","28,718828","36","-59,581261"
07-03-2022 13:25:12,"38,0625","28,71818","36","-24,374962"
07-03-2022 13:25:14,"38,0625","28,717531","36","-39,793739"
07-03-2022 13:25:15,"37,875","28,719477","36","13,334351"
07-03-2022 13:25:16,"37,875","28,720774","36","-18,125"
07-03-2022 13:25:18,"37,75","28,719801","36","18,334389"
07-03-2022 13:25:19,"37,75","28,720449","36","-30,418739"
07-03-2022 13:25:20,"37,75","28,722395","36","-29,165649"
07-03-2022 13:25:21,"37,75","28,723043","36","-62,5"
07-03-2022 13:25:23,"37,75","28,722395","36","-62,5"
07-03-2022 13:25:24,"37,75","28,722395","36","-62,5"
07-03-2022 13:25:25,"37,5625","28,723368","36","-10,625"
07-03-2022 13:25:27,"37,5625","28,723692","36","-8,75"
07-03-2022 13:25:28,"37,4375","28,723368","36","27,709389"
07-03-2022 13:25:29,"37,4375","28,724016","36","-21,043739"
07-03-2022 13:25:31,"37,3125","28,725313","36","14,793739"
07-03-2022 13:25:32,"37,3125","28,725962","36","-17,293739"
07-03-2022 13:25:33,"37,375","28,726286","36","-33,331261"
07-03-2022 13:25:34,"37,375","28,726286","36","-67,293739"
07-03-2022 13:25:36,"37,3125","28,72661","36","-50,625038"
07-03-2022 13:25:37,"37,3125","28,727259","36","-33,331261"
07-03-2022 13:25:38,"37,125","28,727907","36","19,165649"
07-03-2022 13:25:40,"37,125","28,730501","36","4,375"
07-03-2022 13:25:41,"37,0625","28,732447","36","23,540611"
07-03-2022 13:25:42,"37,0625","28,734068","36","-25,831261"
07-03-2022 13:25:44,"37,125","28,735689","36","-42,499962"
07-03-2022 13:25:45,"37,125","28,734392","36","-59,793739"
07-03-2022 13:25:46,"37,125","28,734068","36","-60,415649"
07-03-2022 13:25:47,"37,125","28,732447","36","-43,75"
07-03-2022 13:25:49,"37","28,733095","36","-9,165611"
07-03-2022 13:25:50,"37","28,732447","36","-7,918739"
07-03-2022 13:25:51,"36,875","28,733744","36","27,918739"
07-03-2022 13:25:53,"36,875","28,733095","36","-4,168739"
07-03-2022 13:25:54,"36,875","28,733095","36","-2,915649"
07-03-2022 13:25:55,"36,875","28,733095","36","-36,25"
07-03-2022 13:25:57,"36,8125","28,730825","36","-18,959389"
07-03-2022 13:25:58,"36,8125","28,730177","36","-18,331261"
07-03-2022 13:25:59,"36,75","28,725313","36","-0,418739"
07-03-2022 13:26:00,"36,75","28,722071","36","-16,456261"
07-03-2022 13:26:02,"36,6875","28,721098","36","1,456261"
07-03-2022 13:26:03,"36,6875","28,720449","36","-14,581261"
07-03-2022 13:26:04,"36,625","28,720449","36","3,331261"
07-03-2022 13:26:06,"36,625","28,719801","36","-12,706261"
07-03-2022 13:26:07,"36,625","28,719801","36","-12,084351"
07-03-2022 13:26:08,"36,625","28,720774","36","-28,75"
07-03-2022 13:26:10,"36,5625","28,720449","36","-11,459389"
07-03-2022 13:26:11,"36,5625","28,722395","36","-10,831261"
07-03-2022 13:26:12,"36,5","28,722719","36","7,081261"
07-03-2022 13:26:13,"36,5","28,721746","36","-8,956261"
07-03-2022 13:26:15,"36,5","28,719801","36","-8,334351"
07-03-2022 13:26:16,"36,5","28,718504","36","-25"
07-03-2022 13:26:17,"36,375","28,719477","36","9,584389"
07-03-2022 13:26:19,"36,375","28,719477","36","10,831261"
07-03-2022 13:26:20,"36,375","28,719477","36","12,084351"
07-03-2022 13:26:21,"36,375","28,718504","36","-21,25"
07-03-2022 13:26:23,"36,375","28,719801","36","-21,25"
07-03-2022 13:26:24,"36,375","28,720449","36","-21,25"
07-03-2022 13:26:25,"36,375","28,721746","36","-21,25"
07-03-2022 13:26:26,"36,375","28,721746","36","-21,25"
07-03-2022 13:26:28,"36,3125","28,720125","36","-3,959389"
07-03-2022 13:26:29,"36,3125","28,720125","36","-3,331261"
07-03-2022 13:26:30,"36,1875","28,719152","36","31,875038"
07-03-2022 13:26:32,"36,1875","28,719152","36","16,456261"
07-03-2022 13:26:33,"36,125","28,718504","36","34,999962"
07-03-2022 13:26:34,"36,125","28,718828","36","2,293739"
07-03-2022 13:26:36,"36,1875","28,718828","36","-14,374962"
07-03-2022 13:26:37,"36,1875","28,720125","36","-31,668739"
07-03-2022 13:26:38,"36,25","28,721098","36","-49,581261"
07-03-2022 13:26:39,"36,25","28,721422","36","-33,543739"
07-03-2022 13:26:41,"36,1875","28,719801","36","-16,875038"
07-03-2022 13:26:42,"36,1875","28,719477","36","0,418739"
07-03-2022 13:26:43,"36,125","28,718828","36","18,331261"
07-03-2022 13:26:44,"36,125","28,718504","36","2,293739"
07-03-2022 13:26:46,"36,125","28,71818","36","2,915649"
07-03-2022 13:26:47,"36,125","28,717207","36","-13,75"
07-03-2022 13:26:49,"36,125","28,715908","36","-13,75"
07-03-2022 13:26:50,"36,125","28,714287","36","-13,75"
07-03-2022 13:26:51,"36,125","28,714287","36","-13,75"
07-03-2022 13:26:52,"36,125","28,712341","36","-13,75"
07-03-2022 13:26:54,"36,125","28,709423","36","-13,75"
07-03-2022 13:26:55,"36,125","28,707478","36","-13,75"
07-03-2022 13:26:56,"36","28,703262","36","20,834389"
07-03-2022 13:26:57,"36","28,701641","36","22,081261"
07-03-2022 13:26:59,"36","28,703262","36","23,334351"
07-03-2022 13:27:00,"36","28,702938","36","-10"
07-03-2022 13:27:02,"36","28,701641","36","-10"
07-03-2022 13:27:03,"36","28,703262","36","-10"
07-03-2022 13:27:04,"36","28,704235","36","-10"
07-03-2022 13:27:05,"36","28,704884","36","-10"
07-03-2022 13:27:07,"35,875","28,706181","36","24,588556"
07-03-2022 13:27:08,"35,875","28,706505","36","25,843761"
07-03-2022 13:27:09,"35,875","28,706181","36","27,10935"
07-03-2022 13:27:10,"35,875","28,705532","36","-6,2125"
07-03-2022 13:27:12,"35,875","28,704559","36","-6,2"
07-03-2022 13:27:13,"35,875","28,70229","36","-6,1875"
07-03-2022 13:27:15,"35,875","28,700993","36","-6,175"
07-03-2022 13:27:16,"35,875","28,701317","36","-6,1625"
07-03-2022 13:27:17,"35,8125","28,699696","36","11,142694"
